id,form_id,survey_id,lat,lng,address,state,country,continent
156561074112-4,347,1565610741-4,20.328246,85.461032,NULL,NULL,NULL,NULL
156561074212-4,347,1565610742-4,20.328952,85.464217,NULL,NULL,NULL,NULL
156561074312-4,347,1565610743-4,20.459401,85.628216,NULL,NULL,NULL,NULL
156561074412-4,347,1565610744-4,20.459648,85.627943,NULL,NULL,NULL,NULL
156561074512-4,347,1565610745-4,20.459778,85.62775,NULL,NULL,NULL,NULL
156561074612-4,347,1565610746-4,20.457678,85.627924,NULL,NULL,NULL,NULL
156561074712-4,347,1565610747-4,20.459731,85.62739,NULL,NULL,NULL,NULL
156561074812-4,347,1565610748-4,20.459712,85.627724,NULL,NULL,NULL,NULL
156561074912-4,347,1565610749-4,20.459502,85.628203,NULL,NULL,NULL,NULL
156561075012-4,347,1565610750-4,20.459549,85.627438,NULL,NULL,NULL,NULL
156561075112-4,347,1565610751-4,20.459611,85.627503,NULL,NULL,NULL,NULL
156561075212-4,347,1565610752-4,20.459671,85.627568,NULL,NULL,NULL,NULL
156561075312-4,347,1565610753-4,20.418335,85.602488,NULL,NULL,NULL,NULL
156561075412-4,347,1565610754-4,20.418368,85.614791,NULL,NULL,NULL,NULL
156561075512-4,347,1565610755-4,20.451118,85.614837,NULL,NULL,NULL,NULL
156561075612-4,347,1565610756-4,20.451136,85.614937,NULL,NULL,NULL,NULL
156561075712-4,347,1565610757-4,20.451158,85.614973,NULL,NULL,NULL,NULL
156561075812-4,347,1565610758-4,20.451181,85.614997,NULL,NULL,NULL,NULL
156561075912-4,347,1565610759-4,20.451199,85.615113,NULL,NULL,NULL,NULL
156561076012-4,347,1565610760-4,20.451268,85.615191,NULL,NULL,NULL,NULL
156561076112-4,347,1565610761-4,20.45131,85.615247,NULL,NULL,NULL,NULL
156561076212-4,347,1565610762-4,20.451381,85.615339,NULL,NULL,NULL,NULL
156561076312-4,347,1565610763-4,20.455388,85.615047,NULL,NULL,NULL,NULL
156561076412-4,347,1565610764-4,20.456073,85.615039,NULL,NULL,NULL,NULL
156561076512-4,347,1565610765-4,20.456207,85.615695,NULL,NULL,NULL,NULL
156561076612-4,347,1565610766-4,20.456311,85.615173,NULL,NULL,NULL,NULL
156561076712-4,347,1565610767-4,20.456249,85.615215,NULL,NULL,NULL,NULL
156561076812-4,347,1565610768-4,20.456336,85.615251,NULL,NULL,NULL,NULL
156561076912-4,347,1565610769-4,20.456421,85.615317,NULL,NULL,NULL,NULL
156561077012-4,347,1565610770-4,20.456497,85.615399,NULL,NULL,NULL,NULL
156561077112-4,347,1565610771-4,20.456511,85.615431,NULL,NULL,NULL,NULL
156561077212-4,347,1565610772-4,20.456566,85.615513,NULL,NULL,NULL,NULL
156561077312-4,347,1565610773-4,20.46917,85.645224,NULL,NULL,NULL,NULL
156561077412-4,347,1565610774-4,20.469048,85.645197,NULL,NULL,NULL,NULL
156561077512-4,347,1565610775-4,20.469077,85.645172,NULL,NULL,NULL,NULL
156561077612-4,347,1565610776-4,20.469132,85.645158,NULL,NULL,NULL,NULL
156561077712-4,347,1565610777-4,20.469182,85.645112,NULL,NULL,NULL,NULL
156561077812-4,347,1565610778-4,20.469220,85.645081,NULL,NULL,NULL,NULL
156561077912-4,347,1565610779-4,20.469273,85.645053,NULL,NULL,NULL,NULL
156561078012-4,347,1565610780-4,20.469318,85.645011,NULL,NULL,NULL,NULL
156561078112-4,347,1565610781-4,20.469692,85.644801,NULL,NULL,NULL,NULL
156561078212-4,347,1565610782-4,20.469711,85.644734,NULL,NULL,NULL,NULL
156561078312-4,347,1565610783-4,20.35339,85.45341,NULL,NULL,NULL,NULL
156561078412-4,347,1565610784-4,20.35273,85.45338,NULL,NULL,NULL,NULL
156561078512-4,347,1565610785-4,20.35097,85.45374,NULL,NULL,NULL,NULL
156561078612-4,347,1565610786-4,20.35146,85.4542,NULL,NULL,NULL,NULL
156561078712-4,347,1565610787-4,20.35142,85.45484,NULL,NULL,NULL,NULL
156561078812-4,347,1565610788-4,20.35136,85.45236,NULL,NULL,NULL,NULL
156561078912-4,347,1565610789-4,20.35138,85.45176,NULL,NULL,NULL,NULL
156561079012-4,347,1565610790-4,20.35157,85.45171,NULL,NULL,NULL,NULL
156561079112-4,347,1565610791-4,20.35168,85.45332,NULL,NULL,NULL,NULL
156561079212-4,347,1565610792-4,20.35238,85.45356,NULL,NULL,NULL,NULL
156561079312-4,347,1565610793-4,20.35241,85.44979,NULL,NULL,NULL,NULL
156561079412-4,347,1565610794-4,20.35163,85.45032,NULL,NULL,NULL,NULL
156561079512-4,347,1565610795-4,20.35185,85.45038,NULL,NULL,NULL,NULL
156561079612-4,347,1565610796-4,20.35006,85.45003,NULL,NULL,NULL,NULL
156561079712-4,347,1565610797-4,20.34998,85.44937,NULL,NULL,NULL,NULL
156561079812-4,347,1565610798-4,20.34992,85.44908,NULL,NULL,NULL,NULL
156561079912-4,347,1565610799-4,20.35011,85.44892,NULL,NULL,NULL,NULL
156561080012-4,347,1565610800-4,20.35004,85.44928,NULL,NULL,NULL,NULL
156561080112-4,347,1565610801-4,20.3505,85.45002,NULL,NULL,NULL,NULL
156561080212-4,347,1565610802-4,20.35061,85.45004,NULL,NULL,NULL,NULL
156561080312-4,347,1565610803-4,20.2831,85.3593,NULL,NULL,NULL,NULL
156561080412-4,347,1565610804-4,20.2847,85.3592,NULL,NULL,NULL,NULL
156561080512-4,347,1565610805-4,20.2849,85.3594,NULL,NULL,NULL,NULL
156561080612-4,347,1565610806-4,20.2820,85.3582,NULL,NULL,NULL,NULL
156561080712-4,347,1565610807-4,20.2826,85.3580,NULL,NULL,NULL,NULL
156561080812-4,347,1565610808-4,20.2885,85.3589,NULL,NULL,NULL,NULL
156561080912-4,347,1565610809-4,20.2833,85.3584,NULL,NULL,NULL,NULL
156561081012-4,347,1565610810-4,20.2867,85.3661,NULL,NULL,NULL,NULL
156561081112-4,347,1565610811-4,20.2881,85.3682,NULL,NULL,NULL,NULL
156561081212-4,347,1565610812-4,,85.3686,NULL,NULL,NULL,NULL
156561081312-4,347,1565610813-4,20.35114,85.40889,NULL,NULL,NULL,NULL
156561081412-4,347,1565610814-4,20.35118,85.42963,NULL,NULL,NULL,NULL
156561081512-4,347,1565610815-4,20.35007,85.41159,NULL,NULL,NULL,NULL
156561081612-4,347,1565610816-4,20.34983,85.41113,NULL,NULL,NULL,NULL
156561081712-4,347,1565610817-4,20.34994,85.4111,NULL,NULL,NULL,NULL
156561081812-4,347,1565610818-4,20.34868,85.41155,NULL,NULL,NULL,NULL
156561081912-4,347,1565610819-4,20.35056,85.40864,NULL,NULL,NULL,NULL
156561082012-4,347,1565610820-4,20.35079,85.40921,NULL,NULL,NULL,NULL
156561082112-4,347,1565610821-4,20.35038,85.40693,NULL,NULL,NULL,NULL
156561082212-4,347,1565610822-4,20.35023,85.40908,NULL,NULL,NULL,NULL
156561082312-4,347,1565610823-4,20.25686,85.451219,NULL,NULL,NULL,NULL
156561082412-4,347,1565610824-4,20.25617,85.451194,NULL,NULL,NULL,NULL
156561082512-4,347,1565610825-4,20.251775,85.45539,NULL,NULL,NULL,NULL
156561082612-4,347,1565610826-4,20.251881,85.454589,NULL,NULL,NULL,NULL
156561082712-4,347,1565610827-4,20.251472,85.455906,NULL,NULL,NULL,NULL
156561082812-4,347,1565610828-4,20.251796,85.46009,NULL,NULL,NULL,NULL
156561082912-4,347,1565610829-4,20.25201,85.455128,NULL,NULL,NULL,NULL
156561083012-4,347,1565610830-4,20.251523,85.454789,NULL,NULL,NULL,NULL
156561083112-4,347,1565610831-4,20.251816,85.454794,NULL,NULL,NULL,NULL
